Слово, Частота, Частота(в %)
мысли,30,0.04%
могу,30,0.04%
плечо,30,0.04%
этим,30,0.04%
б,29,0.04%
крикнул,29,0.04%
спасибо,29,0.04%
завтра,29,0.04%
заверил,29,0.04%
видел,29,0.04%
спросил,29,0.04%
люди,29,0.04%
мало,28,0.04%
ка,28,0.04%
раньше,28,0.04%
нынче,28,0.04%
сами,28,0.04%
вульф,28,0.04%
кому,28,0.04%
поликарпович,28,0.04%
нахмурился,28,0.04%
руках,27,0.04%
возможно,27,0.04%
департаменте,27,0.04%
вроде,27,0.04%
виктор,27,0.04%
ваш,27,0.04%
женщина,27,0.04%
зеркальце,27,0.04%
тихо,27,0.04%
моя,27,0.04%
плечами,27,0.04%
улыбнулся,27,0.04%
пусть,26,0.03%
вместе,26,0.03%
ушел,26,0.03%
такого,26,0.03%
приметил,26,0.03%
взял,26,0.03%
прямо,26,0.03%
сколько,26,0.03%
никак,26,0.03%
стола,26,0.03%
улице,26,0.03%
демидов,26,0.03%
добавила,25,0.03%
ах,25,0.03%
сказал,25,0.03%
стал,25,0.03%
оттого,25,0.03%
откуда,25,0.03%
лазин,25,0.03%
вовсе,25,0.03%
мной,25,0.03%
почти,25,0.03%
узнать,25,0.03%
впрямь,25,0.03%
буду,25,0.03%
свою,25,0.03%
город,25,0.03%
ощутил,25,0.03%
портал,25,0.03%
комнату,25,0.03%
улыбнулась,25,0.03%
слово,24,0.03%
своей,24,0.03%
молча,24,0.03%
поднялся,24,0.03%
имеются,24,0.03%
опять,24,0.03%
начал,24,0.03%
правда,24,0.03%
стоит,24,0.03%
несколько,24,0.03%
нем,24,0.03%
слова,23,0.03%
увидел,23,0.03%
те,23,0.03%
весь,23,0.03%
стол,23,0.03%
глаз,23,0.03%
шаг,23,0.03%
наверняка,23,0.03%
знаете,23,0.03%
зеркальной,23,0.03%
лазина,23,0.03%
степанида,23,0.03%
цветок,23,0.03%
одна,23,0.03%
покамест,22,0.03%
доме,22,0.03%
понять,22,0.03%
руками,22,0.03%
своим,22,0.03%
выходит,22,0.03%
поспешно,22,0.03%
городе,22,0.03%
стакан,22,0.03%
волколак,22,0.03%
потом,22,0.03%
артефакт,22,0.03%
цилиндр,22,0.03%
голову,22,0.03%
вышел,22,0.03%
будьте,21,0.03%
этой,21,0.03%
оказался,21,0.03%
махнул,21,0.03%
ведьмы,21,0.03%
магов,21,0.03%
магию,21,0.03%
волосы,21,0.03%
каждый,21,0.03%
эту,21,0.03%
нервно,21,0.03%
какая,21,0.03%
ладно,21,0.03%
стешку,21,0.03%
кинулся,21,0.03%
желая,21,0.03%
всего,21,0.03%
ползунов,21,0.03%
кого,21,0.03%
совсем,21,0.03%
знал,21,0.03%
прошу,21,0.03%
зеркала,21,0.03%
всякий,21,0.03%
произнес,20,0.03%
вещи,20,0.03%
который,20,0.03%
дожидаясь,20,0.03%
девица,20,0.03%
посему,20,0.03%
воды,20,0.03%
некто,20,0.03%
стараясь,20,0.03%
мужчина,20,0.03%
боли,20,0.03%
помощь,20,0.03%
идемте,20,0.03%
покинул,20,0.03%
задумчиво,20,0.03%
прежде,20,0.03%
удивился,20,0.03%
улицу,20,0.03%
комнаты,20,0.03%
одной,20,0.03%
глянул,19,0.03%
сквозь,19,0.03%
глава,19,0.03%
скривился,19,0.03%
снова,19,0.03%
думал,19,0.03%
давеча,19,0.03%
открыл,19,0.03%
заметил,19,0.03%
отец,19,0.03%
лица,19,0.03%
пошел,19,0.03%
собакин,19,0.03%
знает,19,0.03%
предложил,19,0.03%
сама,19,0.03%
обратно,19,0.03%
вздохнула,19,0.03%
надобно,19,0.03%
коротко,19,0.03%
ясно,19,0.03%
запах,19,0.03%
оставив,19,0.03%
дела,19,0.03%
тому,19,0.03%
пожал,19,0.03%
послышался,19,0.03%
глазами,19,0.03%
ваша,19,0.03%
назад,19,0.03%
вернулся,19,0.03%
вопрос,19,0.03%
сил,19,0.03%
осторожно,19,0.03%
ежели,18,0.02%
увы,18,0.02%
происходит,18,0.02%
ко,18,0.02%
огляделся,18,0.02%
случай,18,0.02%
успел,18,0.02%
верно,18,0.02%
иначе,18,0.02%
поделился,18,0.02%
можете,18,0.02%
поспешил,18,0.02%
месте,18,0.02%
ноги,18,0.02%
спиной,18,0.02%
возмутился,18,0.02%
какие,18,0.02%
понимаете,18,0.02%
говорите,18,0.02%
хмыкнул,18,0.02%
помочь,18,0.02%
пришел,18,0.02%
ответ,18,0.02%
ощущая,18,0.02%
кофе,18,0.02%
протянул,18,0.02%
уверен,18,0.02%
друга,18,0.02%
семеновна,18,0.02%
городовой,18,0.02%
позже,18,0.02%
мужик,18,0.02%
такие,18,0.02%
рук,18,0.02%
карман,17,0.02%
скажите,17,0.02%
много,17,0.02%
подошел,17,0.02%
которые,17,0.02%
разговор,17,0.02%
вижу,17,0.02%
разглядывая,17,0.02%
литератор,17,0.02%
одного,17,0.02%
кабинета,17,0.02%
право,17,0.02%
пожалуй,17,0.02%
воду,17,0.02%
скажи,17,0.02%
рыкнул,17,0.02%
кивнула,17,0.02%
эта,17,0.02%
вокруг,17,0.02%
следом,17,0.02%
говорить,17,0.02%
крещенске,17,0.02%
крещенск,17,0.02%
сюртук,17,0.02%
хозяин,17,0.02%
митей,17,0.02%
зашел,17,0.02%
два,17,0.02%
порог,17,0.02%
свой,17,0.02%
тело,17,0.02%
остановился,17,0.02%
усмехнулся,17,0.02%
времени,17,0.02%
оборотня,17,0.02%
среди,17,0.02%
ждать,17,0.02%
видно,17,0.02%
резко,17,0.02%
кажется,17,0.02%
других,17,0.02%
половой,17,0.02%
пол,17,0.02%
сел,17,0.02%
ох,16,0.02%
нельзя,16,0.02%
которой,16,0.02%
поди,16,0.02%
чему,16,0.02%
зеркального,16,0.02%
скажете,16,0.02%
кабинете,16,0.02%
протез,16,0.02%
скажу,16,0.02%
отозвался,16,0.02%
нашли,16,0.02%
нашел,16,0.02%
пальцем,16,0.02%
стешке,16,0.02%
сказала,16,0.02%
обратился,16,0.02%
бок,16,0.02%
господина,16,0.02%
потер,16,0.02%
станет,16,0.02%
дня,16,0.02%
поморщился,16,0.02%
медленно,16,0.02%
нос,16,0.02%
бумаги,16,0.02%
софи,16,0.02%
тех,15,0.02%
вместо,15,0.02%
искать,15,0.02%
увидев,15,0.02%
человека,15,0.02%
произнесла,15,0.02%
чай,15,0.02%
оказалось,15,0.02%
бабка,15,0.02%
воздух,15,0.02%
максимовна,15,0.02%
говорила,15,0.02%
могли,15,0.02%
пробормотал,15,0.02%
жаль,15,0.02%
вон,15,0.02%
поскольку,15,0.02%
госпожа,15,0.02%
тема,15,0.02%
достал,15,0.02%
волшебницу,15,0.02%
вашего,15,0.02%
ульяну,15,0.02%
дабы,15,0.02%
камеры,15,0.02%
давно,15,0.02%
были,15,0.02%
хотите,15,0.02%
завидев,15,0.02%
услышал,15,0.02%
удивленно,15,0.02%
найти,15,0.02%
платье,15,0.02%
таким,15,0.02%
такая,15,0.02%
шагнул,15,0.02%
временем,15,0.02%
маги,14,0.02%
буркнул,14,0.02%
скорее,14,0.02%
шагом,14,0.02%
ответил,14,0.02%
гербовое,14,0.02%
пытаясь,14,0.02%
борис,14,0.02%
ними,14,0.02%
посмотрел,14,0.02%
стоило,14,0.02%
добрый,14,0.02%
выходу,14,0.02%
барышня,14,0.02%
своих,14,0.02%
иконин,14,0.02%
следы,14,0.02%
негоциант,14,0.02%
велел,14,0.02%
протезом,14,0.02%
появился,14,0.02%
знать,14,0.02%
тобой,14,0.02%
егору,14,0.02%
стешки,14,0.02%
слишком,14,0.02%
вопросов,14,0.02%
попросил,14,0.02%
всю,14,0.02%
взглянув,14,0.02%
свет,14,0.02%
столице,14,0.02%
прислуга,14,0.02%
стоял,14,0.02%
пальцы,14,0.02%
кулаком,14,0.02%
кухарка,14,0.02%
крови,14,0.02%
вошел,14,0.02%
захара,14,0.02%
кроме,14,0.02%
хотела,14,0.02%
силу,14,0.02%
петербурге,14,0.02%
пойду,14,0.02%
доктор,14,0.02%
почему,14,0.02%
лежал,14,0.02%
меж,14,0.02%
мамушка,14,0.02%
груди,14,0.02%
стены,14,0.02%
игната,14,0.02%
сей,14,0.02%
васька,13,0.02%
видели,13,0.02%
сидел,13,0.02%
паровик,13,0.02%
ту,13,0.02%
прошел,13,0.02%
вести,13,0.02%
виде,13,0.02%
взяв,13,0.02%
вообще,13,0.02%
говорит,13,0.02%
шел,13,0.02%
губернатора,13,0.02%
перебил,13,0.02%
водой,13,0.02%
раздался,13,0.02%
моей,13,0.02%
горожан,13,0.02%
оборотень,13,0.02%
города,13,0.02%
работе,13,0.02%
благодарю,13,0.02%
сердце,13,0.02%
сделал,13,0.02%
револьвер,13,0.02%
могло,13,0.02%
идти,13,0.02%
егором,13,0.02%
пришли,13,0.02%
само,13,0.02%
вся,13,0.02%
денщика,13,0.02%
хочу,13,0.02%
уйти,13,0.02%
бежал,13,0.02%
столу,13,0.02%
минут,13,0.02%
безусловно,13,0.02%
волшебницы,13,0.02%
ульяны,13,0.02%
глазах,13,0.02%
напал,13,0.02%
пожалуйста,13,0.02%
боюсь,13,0.02%
кем,13,0.02%
улицы,13,0.02%
удалось,13,0.02%
заглянул,13,0.02%
сыщика,13,0.02%
мальчик,13,0.02%
мои,13,0.02%
мол,13,0.02%
попытался,13,0.02%
комнате,13,0.02%
пообещал,13,0.02%
око,13,0.02%
ответа,13,0.02%
вышло,13,0.02%
носом,13,0.02%
никого,13,0.02%
другом,13,0.02%
несмотря,13,0.02%
отмахнулся,13,0.02%
таких,13,0.02%
взглянула,13,0.02%
вечер,13,0.02%
митька,13,0.02%
рад,13,0.02%
казалось,13,0.02%
монокль,13,0.02%
интересно,13,0.02%
игнат,13,0.02%
начала,13,0.02%
быстро,12,0.02%
той,12,0.02%
самый,12,0.02%
эй,12,0.02%
стала,12,0.02%
сделать,12,0.02%
ветер,12,0.02%
котором,12,0.02%
приметив,12,0.02%
прокопьевич,12,0.02%
коридору,12,0.02%
хозяина,12,0.02%
приемную,12,0.02%
говорил,12,0.02%
шум,12,0.02%
например,12,0.02%
последний,12,0.02%
магия,12,0.02%
призналась,12,0.02%
душу,12,0.02%
места,12,0.02%
воздухе,12,0.02%
удивилась,12,0.02%
новый,12,0.02%
богу,12,0.02%
вопросы,12,0.02%
боль,12,0.02%
газету,12,0.02%
безумия,12,0.02%
внутрь,12,0.02%
неужто,12,0.02%
вашей,12,0.02%
должен,12,0.02%
отозвалась,12,0.02%
позади,12,0.02%
квартиру,12,0.02%
зашагал,12,0.02%
бороду,12,0.02%
находился,12,0.02%
поинтересовался,12,0.02%
вполне,12,0.02%
свои,12,0.02%
свое,12,0.02%
столицу,12,0.02%
недовольно,12,0.02%
дорогу,12,0.02%
согласилась,12,0.02%
прибыли,12,0.02%
убрал,12,0.02%
зря,12,0.02%
готов,12,0.02%
покачал,12,0.02%
долго,12,0.02%
гости,12,0.02%
остановилась,12,0.02%
самого,12,0.02%
григорьевич,12,0.02%
жить,12,0.02%
очередной,12,0.02%
говори,12,0.02%
говорю,12,0.02%
трубку,12,0.02%
головы,12,0.02%
голове,12,0.02%
обо,12,0.02%
допустим,12,0.02%
оно,12,0.02%
нечто,12,0.02%
госпиталь,12,0.02%
утра,12,0.02%
платон,12,0.02%
внимания,12,0.02%
пытался,12,0.02%
трудом,12,0.02%
бежать,12,0.02%
имелось,12,0.02%
прикидывая,12,0.02%
часы,11,0.01%
хотелось,11,0.01%
убийца,11,0.01%
обернулась,11,0.01%
её,11,0.01%
нету,11,0.01%
скажем,11,0.01%
отправился,11,0.01%
повторил,11,0.01%
стул,11,0.01%
которых,11,0.01%
ведьму,11,0.01%
ближе,11,0.01%
вернувшись,11,0.01%
встал,11,0.01%
случилось,11,0.01%
права,11,0.01%
размышляя,11,0.01%
душа,11,0.01%
слезы,11,0.01%
зверь,11,0.01%
бывает,11,0.01%
поправляя,11,0.01%
никакой,11,0.01%
обернулся,11,0.01%
оказались,11,0.01%
плохо,11,0.01%
сударыня,11,0.01%
света,11,0.01%
спросила,11,0.01%
напомнил,11,0.01%
внутри,11,0.01%
зато,11,0.01%
всегда,11,0.01%
пришлось,11,0.01%
ключ,11,0.01%
пройдя,11,0.01%
впервые,11,0.01%
аккуратно,11,0.01%
остался,11,0.01%
господа,11,0.01%
целом,11,0.01%
поправил,11,0.01%
между,11,0.01%
аптекарь,11,0.01%
ждал,11,0.01%
чувствуя,11,0.01%
зло,11,0.01%
ибо,11,0.01%
камеру,11,0.01%
силы,11,0.01%
лекарство,11,0.01%
лекарства,11,0.01%
слышал,11,0.01%
стешкой,11,0.01%
перчатки,11,0.01%
напротив,11,0.01%
мир,11,0.01%
обед,11,0.01%
своего,11,0.01%
которого,11,0.01%
принял,11,0.01%
делу,11,0.01%
слов,11,0.01%
стеша,11,0.01%
меньше,11,0.01%
первым,11,0.01%
ваше,11,0.01%
ваши,11,0.01%
громко,11,0.01%
наверх,11,0.01%
одно,11,0.01%
двинулся,11,0.01%
литератора,11,0.01%
будем,11,0.01%
чувствовал,10,0.01%
ладонью,10,0.01%
холодно,10,0.01%
делать,10,0.01%
лебедеву,10,0.01%
ума,10,0.01%
ушла,10,0.01%
кармана,10,0.01%
сделала,10,0.01%
стали,10,0.01%
дернул,10,0.01%
аккурат,10,0.01%
поэтому,10,0.01%
самой,10,0.01%
стеш,10,0.01%
стук,10,0.01%
извините,10,0.01%
трубу,10,0.01%
полу,10,0.01%
покачала,10,0.01%
час,10,0.01%
говорят,10,0.01%
неделю,10,0.01%
действительно,10,0.01%
шею,10,0.01%
прибыл,10,0.01%
вверх,10,0.01%
утром,10,0.01%
хмуро,10,0.01%
записи,10,0.01%
семёновна,10,0.01%
сильнее,10,0.01%
ножик,10,0.01%
проходя,10,0.01%
открыв,10,0.01%
наоборот,10,0.01%
больницу,10,0.01%
потребовал,10,0.01%
заметив,10,0.01%
землю,10,0.01%
поверьте,10,0.01%
осколки,10,0.01%
глядел,10,0.01%
зелье,10,0.01%
следов,10,0.01%
тварь,10,0.01%
прищурилась,10,0.01%
работу,10,0.01%
далее,10,0.01%
позвал,10,0.01%
могут,10,0.01%
принялась,10,0.01%
кинулась,10,0.01%
стула,10,0.01%
бог,10,0.01%
кругом,10,0.01%
равно,10,0.01%
девушку,10,0.01%
друзья,10,0.01%
будь,10,0.01%
придется,10,0.01%
хватит,10,0.01%
жмурки,10,0.01%
дел,10,0.01%
дверей,10,0.01%
край,10,0.01%
раны,10,0.01%
вспомнил,10,0.01%
дядь,10,0.01%
пять,10,0.01%
ручку,10,0.01%
осталось,10,0.01%
иди,10,0.01%
маскарад,10,0.01%
хуже,10,0.01%
ответить,10,0.01%
хмурясь,10,0.01%
ответила,10,0.01%
посетителей,10,0.01%
рявкнул,10,0.01%
поклонился,10,0.01%
меблированных,10,0.01%
заявила,10,0.01%
поднос,10,0.01%
стояла,10,0.01%
наш,10,0.01%
легко,10,0.01%
посмотрела,10,0.01%
другие,10,0.01%
ненавистью,10,0.01%
зеркалу,10,0.01%
кресла,10,0.01%
голосе,10,0.01%
вышла,10,0.01%
первый,10,0.01%
следователь,10,0.01%
стене,10,0.01%
волколака,10,0.01%
оставляя,10,0.01%
будут,10,0.01%
жизни,10,0.01%
жизнь,10,0.01%
больно,10,0.01%
таком,10,0.01%
рот,10,0.01%
задумался,10,0.01%
три,9,0.01%
стану,9,0.01%
аж,9,0.01%
поджала,9,0.01%
живой,9,0.01%
маришка,9,0.01%
которым,9,0.01%
заняться,9,0.01%
помогите,9,0.01%
взор,9,0.01%
окно,9,0.01%
колени,9,0.01%
пора,9,0.01%
чуя,9,0.01%
коридор,9,0.01%
черт,9,0.01%
кухмистерской,9,0.01%
рука,9,0.01%
выпил,9,0.01%
посетители,9,0.01%
доставая,9,0.01%
заверила,9,0.01%
подхватил,9,0.01%
любой,9,0.01%
последнее,9,0.01%
против,9,0.01%
магом,9,0.01%
подумал,9,0.01%
месту,9,0.01%
указал,9,0.01%
эти,9,0.01%
новой,9,0.01%
отца,9,0.01%
порталом,9,0.01%
никаких,9,0.01%
предположил,9,0.01%
рассказать,9,0.01%
свете,9,0.01%
углу,9,0.01%
нашей,9,0.01%
думаешь,9,0.01%
человеком,9,0.01%
угол,9,0.01%
лавку,9,0.01%
сделаю,9,0.01%
ваших,9,0.01%
крещенска,9,0.01%
закивал,9,0.01%
правду,9,0.01%
лестнице,9,0.01%
магией,9,0.01%
помощью,9,0.01%
отсюда,9,0.01%
семен,9,0.01%
вскочил,9,0.01%
эликсир,9,0.01%
взялся,9,0.01%
дай,9,0.01%
хватило,9,0.01%
теть,9,0.01%
дух,9,0.01%
лицом,9,0.01%
пояснил,9,0.01%
дороге,9,0.01%
столе,9,0.01%
наверное,9,0.01%
стукнул,9,0.01%
обращая,9,0.01%
письмо,9,0.01%
письма,9,0.01%
угодно,9,0.01%
помню,9,0.01%
отмахнулась,9,0.01%
обычно,9,0.01%
волшебнице,9,0.01%
начальник,9,0.01%
сжал,9,0.01%
работать,9,0.01%
надеюсь,9,0.01%
дать,9,0.01%
степаниду,9,0.01%
проверить,9,0.01%
убийство,9,0.01%
камере,9,0.01%
вовремя,9,0.01%
оставил,9,0.01%
шибко,9,0.01%
люд,9,0.01%
собирался,9,0.01%
взять,9,0.01%
итак,9,0.01%
первой,9,0.01%
откликнулся,9,0.01%
взяла,9,0.01%
поставил,9,0.01%
замер,9,0.01%
внимание,9,0.01%
одну,9,0.01%
вытащил,9,0.01%
одном,9,0.01%
волколаки,9,0.01%
труп,9,0.01%
исчез,9,0.01%
одним,9,0.01%
уточнить,9,0.01%
снял,9,0.01%
пороге,9,0.01%
позвольте,9,0.01%
этих,9,0.01%
конторе,9,0.01%
черный,9,0.01%
дыхание,9,0.01%
мигом,9,0.01%
отрезала,8,0.01%
ваську,8,0.01%
смотрел,8,0.01%
останавливаясь,8,0.01%
ой,8,0.01%
верю,8,0.01%
отвернулась,8,0.01%
прошла,8,0.01%
волколаков,8,0.01%
понятно,8,0.01%
сдержался,8,0.01%
крепко,8,0.01%
дурно,8,0.01%
взгляда,8,0.01%
ребенка,8,0.01%
александровне,8,0.01%
блики,8,0.01%
обрадовался,8,0.01%
кивнув,8,0.01%
поняла,8,0.01%
видите,8,0.01%
добряк,8,0.01%
феофан,8,0.01%
кухмистерскую,8,0.01%
извозчика,8,0.01%
думаю,8,0.01%
руке,8,0.01%
бросился,8,0.01%
ранее,8,0.01%
развернувшись,8,0.01%
скажешь,8,0.01%
запись,8,0.01%
удалилась,8,0.01%
негоцианта,8,0.01%
почитай,8,0.01%
срочно,8,0.01%
отражение,8,0.01%
завсегда,8,0.01%
обычный,8,0.01%
вашему,8,0.01%
мужика,8,0.01%
скользнул,8,0.01%
воде,8,0.01%
ситуацию,8,0.01%
ситуация,8,0.01%
привычно,8,0.01%
стороне,8,0.01%
супруга,8,0.01%
магических,8,0.01%
носу,8,0.01%
знаешь,8,0.01%
машины,8,0.01%
пешком,8,0.01%
слегка,8,0.01%
старушка,8,0.01%
понимаешь,8,0.01%
навстречу,8,0.01%
пальцах,8,0.01%
необходимо,8,0.01%
знаем,8,0.01%
идет,8,0.01%
елене,8,0.01%
шумно,8,0.01%
ползунова,8,0.01%
могла,8,0.01%
процедил,8,0.01%
городового,8,0.01%
господином,8,0.01%
пришла,8,0.01%
любезны,8,0.01%
писака,8,0.01%
исчезла,8,0.01%
прекратите,8,0.01%
нужный,8,0.01%
квартиры,8,0.01%
всему,8,0.01%
повернулся,8,0.01%
записку,8,0.01%
написать,8,0.01%
действует,8,0.01%
господи,8,0.01%
станете,8,0.01%
женщины,8,0.01%
рада,8,0.01%
петербург,8,0.01%
входа,8,0.01%
крайне,8,0.01%
книги,8,0.01%
старик,8,0.01%
никуда,8,0.01%
главное,8,0.01%
продал,8,0.01%
протеза,8,0.01%
выходило,8,0.01%
поднявшись,8,0.01%
пара,8,0.01%
степаниде,8,0.01%
забарабанил,8,0.01%
внезапно,8,0.01%
далеко,8,0.01%
семеновну,8,0.01%
исаакович,8,0.01%
решила,8,0.01%
полиции,8,0.01%
полиция,8,0.01%
кое,8,0.01%
держа,8,0.01%
спать,8,0.01%
устало,8,0.01%
поделилась,8,0.01%
лбу,8,0.01%
лет,8,0.01%
силой,8,0.01%
прощения,8,0.01%
темные,8,0.01%
зная,8,0.01%
будете,8,0.01%
стояли,8,0.01%
подбородок,8,0.01%
появилась,8,0.01%
найду,8,0.01%
ерунда,8,0.01%
нюх,8,0.01%
принес,8,0.01%
кресло,8,0.01%
дети,8,0.01%
голоса,8,0.01%
духов,8,0.01%
позволил,8,0.01%
отвела,8,0.01%
подойдя,8,0.01%
ступай,8,0.01%
платок,8,0.01%
горожане,8,0.01%
остается,8,0.01%
делам,8,0.01%
вначале,8,0.01%
подал,8,0.01%
верить,8,0.01%
нырнул,8,0.01%
контору,8,0.01%
выселки,8,0.01%
выселок,8,0.01%
мальчика,8,0.01%
маленький,8,0.01%
славно,8,0.01%
глянув,7,0.01%
консьержка,7,0.01%
волчок,7,0.01%
важно,7,0.01%
добры,7,0.01%
санкт,7,0.01%
блестящий,7,0.01%
давешний,7,0.01%
разузнать,7,0.01%
сидит,7,0.01%
прошли,7,0.01%
че,7,0.01%
исааковича,7,0.01%
самое,7,0.01%
лохматый,7,0.01%
ищет,7,0.01%
взгляды,7,0.01%
осталась,7,0.01%
подошла,7,0.01%
александровну,7,0.01%
случае,7,0.01%
судя,7,0.01%
ведьме,7,0.01%
образом,7,0.01%
кулак,7,0.01%
придет,7,0.01%
подскажите,7,0.01%
прочие,7,0.01%
сложно,7,0.01%
никакого,7,0.01%
раздумывая,7,0.01%
посмотрим,7,0.01%
шее,7,0.01%
паренек,7,0.01%
посоветовал,7,0.01%
напали,7,0.01%
знакомый,7,0.01%
дмитрия,7,0.01%
спрятал,7,0.01%
поскорее,7,0.01%
гостиную,7,0.01%
поднялась,7,0.01%
глянула,7,0.01%
путь,7,0.01%
хочет,7,0.01%
вечера,7,0.01%
ситуации,7,0.01%
ногу,7,0.01%
согласен,7,0.01%
приходите,7,0.01%
магические,7,0.01%
пристани,7,0.01%
покинула,7,0.01%
пошла,7,0.01%
решив,7,0.01%
лице,7,0.01%
бросила,7,0.01%
враз,7,0.01%
находится,7,0.01%
завтрак,7,0.01%
спокойно,7,0.01%
премного,7,0.01%
удара,7,0.01%
чухов,7,0.01%
вслед,7,0.01%
позабыв,7,0.01%
прогулку,7,0.01%
этому,7,0.01%
благодарен,7,0.01%
таки,7,0.01%
работа,7,0.01%
работы,7,0.01%
порядке,7,0.01%
удар,7,0.01%
увидеть,7,0.01%
порядок,7,0.01%
кстати,7,0.01%
вашем,7,0.01%
